"0x9689c32edf3a7ef9:0x32c7b40a3a5b18f4","","Taller de autos José Nanjari","Taller de autos José Nanjari - C. 6 620, Concón, Valparaíso, Chile","-32.923821","-71.5177456","4","4.3","America/Santiago","","ChIJ-X463y7DiZYR9BhbOgq0xzI","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c32edf3a7ef9:0x32c7b40a3a5b18f4","","Concón, Chile","true","true","","C. 6 620 | Concón | Valparaíso | Chile","Auto electrical service","","","","","","","",""
"0x9689c32e612b539f:0x926a0755179ddc58","+56322904348","Taller mecanico cacosport","Taller mecanico cacosport - C. 8 718, 2510503 Viña del Mar, Concón, Valparaíso, Chile","-32.925112999999996","-71.515642","77","4.6","America/Santiago","","ChIJn1MrYS7DiZYRWNydF1UHapI","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c32e612b539f:0x926a0755179ddc58","","Viña del Mar, Concón, Chile","true","true","","C. 8 718 | 2510503 Viña del Mar, Concón | Valparaíso | Chile","Auto repair shop | Towing service","","","","","","","",""
"0x9689c32e4d060bbd:0x228aea5d372e25a2","+56992317814","Autopolo Ltda","Autopolo Ltda - San Agustín 1095, 2510733 Concón, Valparaíso, Chile","-32.9235056","-71.5128847","108","4.4","America/Santiago","https://autopolo.cl/","ChIJvQsGTS7DiZYRoiUuN13qiiI","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c32e4d060bbd:0x228aea5d372e25a2","","Concón, Chile","true","true","","San Agustín 1095 | 2510733 Concón | Valparaíso | Chile","Car repair and maintenance service","","","","","","","",""
"0x9689c384cc5941c3:0xf9a97855625f1d8b","+56966240419","Reparadora de Calzado Concón","Reparadora de Calzado Concón - 2510000 Concón, 2510000 Valparaíso, Chile","-32.926783199999996","-71.51654599999999","50","4.6","America/Santiago","","ChIJw0FZzITDiZYRix1fYlV4qfk","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c384cc5941c3:0xf9a97855625f1d8b","","Valparaíso, Concón, Chile","true","true","","2510000 Concón | 2510000 Valparaíso | Chile","Shoe repair shop","","","","","","","",""
"0x9689ddcf8ef1f52b:0x2914b894912d0544","+56969170106","Taller Mecánico Piston Zamora y Otro","Taller Mecánico Piston Zamora y Otro - Segunda Transversal 02, 2510000 Concón, Valparaíso, Chile","-32.934765999999996","-71.526605","13","3.8","America/Santiago","","ChIJK_Xxjs_diZYRRAUtkZS4FCk","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689ddcf8ef1f52b:0x2914b894912d0544","","Concón, Chile","true","true","","Segunda Transversal 02 | 2510000 Concón | Valparaíso | Chile","Mechanic","","","","","","","",""
"0x9689e19e9e8f34cb:0xbd8412e414d74cc3","+56983259576","Montemar Pc Servicio Técnico - Concón Reñaca","Montemar Pc Servicio Técnico - Concón Reñaca - Av Edmundo Eluchans 3047, 2542577 Viña del Mar, Valparaíso, Chile","-32.9485964","-71.5455404","3","3.7","America/Santiago","https://www.montemarpc.cl/","ChIJyzSPnp7hiZYRw0zXFOQShL0","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689e19e9e8f34cb:0xbd8412e414d74cc3","","Viña del Mar, Chile","true","true","","Av Edmundo Eluchans 3047 | 2542577 Viña del Mar | Valparaíso | Chile","Repair service","","","","","","","",""
"0x9689dd96204f5267:0x526813d489ef7561","+56996360849","Taller eléctrico donde navarro","Taller eléctrico donde navarro - Río Limarí casa 6 manzana 14, Concón, Valparaíso, Chile","-32.936526","-71.5327233","13","4.5","America/Santiago","","ChIJZ1JPIJbdiZYRYXXvidQTaFI","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689dd96204f5267:0x526813d489ef7561","","Concón, Chile","false","false","","Río Limarí casa 6 manzana 14 | Concón | Valparaíso | Chile","Auto electrical service","","","","","","","",""
"0x9689dd00c07b66c9:0xd9d27df9c23afff7","+56949218964","Different_style_1","Different_style_1 - Vergara 803, local 4, 2510000 Concón, Valparaíso, Chile","-32.9258753","-71.5163295","29","4.7","America/Santiago","","ChIJyWZ7wADdiZYR9_86wvl90tk","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689dd00c07b66c9:0xd9d27df9c23afff7","","Concón, Chile","true","true","","Vergara 803, local 4 | 2510000 Concón | Valparaíso | Chile","Auto tune up service","","","","","","","",""
"0xa0f0d7203fae6865:0xf1cebb578b7ce5fb","+56935912774","Doctor PC. Mantención y Reparación de PC y Notebooks","Doctor PC. Mantención y Reparación de PC y Notebooks - Las Salvias 32, 2510012 Concón, Valparaíso, Chile","-32.9292346","-71.5490614","19","5","America/Santiago","https://www.instagram.com/doctorpc_chile","ChIJZWiuPyDX8KAR--V8i1e7zvE","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0xa0f0d7203fae6865:0xf1cebb578b7ce5fb","","Concón, Chile","true","true","","Las Salvias 32 | 2510012 Concón | Valparaíso | Chile","Computer repair service","","","","","","","",""
"0x9689dcd1f8fffff9:0x4b9eda9d775de76f","+56977096435","Parabrisas Concón","Parabrisas Concón - F-30-E 800, Concón, Valparaíso, Chile","-32.9370208","-71.5136009","9","3.6","America/Santiago","","ChIJ-f__-NHciZYRb-ddd53anks","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689dcd1f8fffff9:0x4b9eda9d775de76f","","Concón, Chile","false","false","","F-30-E 800 | Concón | Valparaíso | Chile","Auto repair shop","","","","","","","",""
"0x9689c3e43a735669:0xdb5f79c722122bef","+56965360555","SMARTCON","SMARTCON - Av. Concón Reñaca 86, 2510000 Concón, Valparaíso, Chile","-32.9341745","-71.5416619","11","5","America/Santiago","","ChIJaVZzOuTDiZYR7ysSIsd5X9s","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c3e43a735669:0xdb5f79c722122bef","","Concón, Chile","true","true","","Av. Concón Reñaca 86 | 2510000 Concón | Valparaíso | Chile","Mobile phone repair shop","","","","","","","",""
"0x9689c30033e35763:0xe8bfe77ea64440ae","","Vulcanizacion","Vulcanizacion - Av. Borgoño 25550, 2542557 Concón, Valparaíso, Chile","-32.921799299999996","-71.507634","1","4","America/Santiago","","ChIJY1fjMwDDiZYRrkBEpn7nv-g","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c30033e35763:0xe8bfe77ea64440ae","","Concón, Chile","false","false","","Av. Borgoño 25550 | 2542557 Concón | Valparaíso | Chile","Auto repair shop","","","","","","","",""
"0x9689c3310a0ab459:0xa1bd54c6a2afd94f","+56959055721","Check Motor's","Check Motor's - C. 12, 2510412 Concón, Valparaíso, Chile","-32.923818","-71.51006029999999","4","4","America/Santiago","","ChIJWbQKCjHDiZYRT9mvosZUvaE","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c3310a0ab459:0xa1bd54c6a2afd94f","","Concón, Chile","false","false","","C. 12 | 2510412 Concón | Valparaíso | Chile","Mechanic","","","","","","","",""
"0x9689c336ae96b8b3:0xecf4b23d0c1365b6","+56977096435","Parabrisas Con con","Parabrisas Con con - Av. Borgoño 26360, 2510825 Concón, Valparaíso, Chile","-32.9246054","-71.5067114","5","4.2","America/Santiago","","ChIJs7iWrjbDiZYRtmUTDD2y9Ow","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c336ae96b8b3:0xecf4b23d0c1365b6","","Concón, Chile","true","true","","Av. Borgoño 26360 | 2510825 Concón | Valparaíso | Chile","Auto repair shop","","","","","","","",""
"0x9689ddad67c24079:0x1b26e95a7ffe4a0c","+56961671111","MOBIX CONCÓN","MOBIX CONCÓN, Centro Comercial Power Center - Av. Concón Reñaca 3400, local 9, 2510042 Concón, Valparaíso, Chile","-32.9439092","-71.5459669","3","5","America/Santiago","https://www.instagram.com/mobix.cl/","ChIJeUDCZ63diZYRDEr-f1rpJhs","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689ddad67c24079:0x1b26e95a7ffe4a0c","","Concón, Chile","true","true","","Centro Comercial Power Center | Av. Concón Reñaca 3400, local 9 | 2510042 Concón | Valparaíso, Chile","Mobile phone repair shop","","","","","","","",""
"0x9689c3005d4c0f37:0x5ae696a862396d74","","Automar","Automar - C. 14 245, 2510825 Concón, Valparaíso, Chile","-32.9240002","-71.50750099999999","","","America/Santiago","","ChIJNw9MXQDDiZYRdG05YqiW5lo","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c3005d4c0f37:0x5ae696a862396d74","","Concón, Chile","false","false","","C. 14 245 | 2510825 Concón | Valparaíso | Chile","Auto repair shop","","","","","","","",""
"0x9689dd179a284549:0x7e1be93f6205aba7","","Gilabert Euro Parts & Service","Gilabert Euro Parts & Service - Av. Concón Reñaca 550, 2510000 Concón, Valparaíso, Chile","-32.933892799999995","-71.5278379","3","3.7","America/Santiago","","ChIJSUUomhfdiZYRp6sFYj_pG34","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689dd179a284549:0x7e1be93f6205aba7","","Concón, Chile","true","true","","Av. Concón Reñaca 550 | 2510000 Concón | Valparaíso | Chile","Auto parts store","","","","","","","",""
"0x9689ddf096742149:0xd76e4ab0401b9a23","+56931956785","Lomas Lubricentro","Lomas Lubricentro - Av. Blanca Estela 2095, 2510000 Concón, Valparaíso, Chile","-32.9419057","-71.5209892","10","3.1","America/Santiago","http://lomaslubricentro.cl/","ChIJSSF0lvDdiZYRI5obQLBKbtc","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689ddf096742149:0xd76e4ab0401b9a23","","Concón, Chile","true","true","","Av. Blanca Estela 2095 | 2510000 Concón | Valparaíso | Chile","Oil change service","","","","","","","",""
"0x9689c3002899b681:0x1009a10c3ee16d96","","VULCA","VULCA, extremo norte - F-30-E, Las Ramaditas, Quintero, Valparaíso, Chile","-32.9164009","-71.5002811","1","5","America/Santiago","","ChIJgbaZKADDiZYRlm3hPgyhCRA","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x9689c3002899b681:0x1009a10c3ee16d96","","Las Ramaditas, Quintero, Chile","false","false","","extremo norte | F-30-E | Las Ramaditas, Quintero | Valparaíso, Chile","Auto repair shop","","","","","","","",""
